ld;2;2022 09 05 22 30;FA;P1;7.00;6.00;12.00;0.00;11.00;2.00;4.00;9.00;P2;11.00;7.00;2.00;4.00;12.00;6.00;0.00;9.00
ld;2;2022 09 05 22 30;FA;P1;11.00;6.00;2.00;12.00;0.00;4.00;9.00;7.00;P2;4.00;0.00;9.00;7.00;2.00;6.00;11.00;12.00
ld;2;2022 09 05 22 30;FA;P1;9.00;6.00;2.00;7.00;0.00;12.00;4.00;11.00;P2;7.00;0.00;11.00;12.00;6.00;4.00;9.00;2.00
ld;2;2022 09 05 22 30;FA;P1;12.00;2.00;9.00;6.00;0.00;4.00;11.00;7.00;P2;7.00;11.00;4.00;12.00;6.00;0.00;2.00;9.00
ld;2;2022 09 05 22 30;OM;P1;4.00;2.00;11.00;9.00;7.00;0.00;6.00;12.00;P2;4.00;6.00;0.00;10.00;7.00;11.00;12.00;2.00
ld;2;2022 09 05 22 30;OM;P1;7.00;4.00;9.00;11.00;0.00;2.00;12.00;6.00;P2;0.00;6.00;12.00;7.00;1.00;11.00;9.00;4.00
ld;2;2022 09 05 22 30;OM;P1;6.00;2.00;11.00;12.00;7.00;0.00;4.00;9.00;P2;0.00;7.00;5.00;4.00;9.00;2.00;12.00;11.00
ld;2;2022 09 05 22 30;OM;P1;9.00;7.00;6.00;2.00;4.00;12.00;0.00;11.00;P2;0.00;11.00;4.00;7.00;5.00;2.00;12.00;9.00
ld;2;2022 09 05 22 30;OM;P1;9.00;0.00;4.00;2.00;12.00;7.00;11.00;6.00;P2;7.00;12.00;4.00;9.00;5.00;0.00;2.00;11.00
ld;2;2022 09 05 22 30;OM;P1;2.00;12.00;4.00;9.00;7.00;6.00;11.00;0.00;P2;0.00;7.00;12.00;2.00;11.00;4.00;6.00;10.00
ld;2;2022 09 05 22 30;OM;P1;7.00;9.00;6.00;11.00;2.00;0.00;4.00;12.00;P2;10.00;0.00;6.00;12.00;7.00;2.00;4.00;11.00
ld;2;2022 09 05 22 30;OM;P1;11.00;9.00;4.00;2.00;6.00;0.00;7.00;12.00;P2;9.00;11.00;1.00;4.00;12.00;6.00;0.00;7.00
